epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1694.62,1.18263,0.64388,1.16371,0.9008,0.8724,0.90889,0.68233,0.86468,0.53423,1.05524,0.0011882,0.0011882,0.0011882
43,1727.96,1.18217,0.63645,1.17647,0.93631,0.88056,0.91981,0.68747,0.8471,0.50527,1.04209,0.0011684,0.0011684,0.0011684
44,1761.3,1.18521,0.64056,1.16549,0.92257,0.86874,0.91282,0.69134,0.8682,0.55408,1.03219,0.0011486,0.0011486,0.0011486
45,1794.73,1.18512,0.62423,1.15729,0.92507,0.86808,0.90399,0.68887,0.86768,0.51244,1.04612,0.0011288,0.0011288,0.0011288
46,1828.26,1.14622,0.61808,1.1549,0.91208,0.85938,0.89427,0.6694,0.865,0.52549,1.04786,0.001109,0.001109,0.001109
47,1861.66,1.17883,0.62693,1.15449,0.95557,0.83073,0.91291,0.68277,0.87448,0.54343,1.0484,0.0010892,0.0010892,0.0010892
48,1895.27,1.17606,0.6291,1.15382,0.92515,0.86904,0.90599,0.69201,0.8439,0.52817,1.03424,0.0010694,0.0010694,0.0010694
49,1928.9,1.17567,0.61126,1.14595,0.92656,0.86979,0.91107,0.68492,0.89225,0.51537,1.06208,0.0010496,0.0010496,0.0010496
50,1962.18,1.11608,0.59716,1.14057,0.92146,0.90365,0.92832,0.69436,0.86633,0.49564,1.05185,0.0010298,0.0010298,0.0010298
51,1995.51,1.14893,0.61331,1.14766,0.91131,0.86198,0.90301,0.67985,0.86689,0.50755,1.06348,0.00101,0.00101,0.00101
52,2029.89,1.12032,0.60449,1.13834,0.94898,0.84896,0.9084,0.69003,0.84627,0.51191,1.04776,0.0009902,0.0009902,0.0009902
53,2064.81,1.15057,0.61228,1.13999,0.92524,0.84896,0.88874,0.67535,0.86163,0.5659,1.04742,0.0009704,0.0009704,0.0009704
54,2102.49,1.13308,0.60077,1.13998,0.93135,0.88322,0.92038,0.68895,0.87947,0.49601,1.04577,0.0009506,0.0009506,0.0009506
55,2135.71,1.10899,0.59147,1.14077,0.93516,0.88802,0.92439,0.7024,0.85235,0.49006,1.04947,0.0009308,0.0009308,0.0009308
56,2169.2,1.10429,0.59095,1.12703,0.91859,0.8724,0.90367,0.68271,0.87209,0.50187,1.04585,0.000911,0.000911,0.000911
57,2202.53,1.12702,0.59458,1.12871,0.93162,0.88706,0.9148,0.68522,0.88249,0.49451,1.04856,0.0008912,0.0008912,0.0008912
58,2235.93,1.10543,0.5844,1.12629,0.93561,0.87034,0.91836,0.69375,0.87215,0.51488,1.05222,0.0008714,0.0008714,0.0008714
59,2269.58,1.11106,0.58816,1.12282,0.91404,0.85156,0.89285,0.67732,0.86641,0.53271,1.05391,0.0008516,0.0008516,0.0008516
60,2303.14,1.11169,0.58486,1.13376,0.91915,0.86719,0.89761,0.67823,0.8966,0.53288,1.06287,0.0008318,0.0008318,0.0008318
61,2336.46,1.08336,0.57716,1.11746,0.94104,0.87281,0.91855,0.70263,0.84019,0.50129,1.03665,0.000812,0.000812,0.000812
62,2369.92,1.05965,0.56263,1.10854,0.91916,0.84635,0.89722,0.67525,0.86886,0.54029,1.04461,0.0007922,0.0007922,0.0007922
63,2403.42,1.0777,0.56434,1.11249,0.91408,0.89062,0.9187,0.68678,0.85195,0.51211,1.05201,0.0007724,0.0007724,0.0007724
64,2436.96,1.08184,0.56012,1.11023,0.91392,0.88476,0.91105,0.6841,0.88334,0.51633,1.06779,0.0007526,0.0007526,0.0007526
65,2470.74,1.1134,0.56971,1.12072,0.91687,0.85677,0.89916,0.68075,0.8667,0.52312,1.05626,0.0007328,0.0007328,0.0007328
66,2504.04,1.0752,0.56474,1.1181,0.94214,0.88542,0.92434,0.69167,0.86586,0.4871,1.05136,0.000713,0.000713,0.000713
67,2537.51,1.0527,0.54927,1.0936,0.92585,0.86719,0.91759,0.68845,0.86763,0.49725,1.05432,0.0006932,0.0006932,0.0006932
68,2571.22,1.10358,0.56561,1.1042,0.93436,0.88963,0.9146,0.67862,0.87861,0.49688,1.071,0.0006734,0.0006734,0.0006734
69,2604.77,1.07456,0.55486,1.09117,0.92429,0.89323,0.92696,0.69294,0.8704,0.49281,1.04803,0.0006536,0.0006536,0.0006536
70,2638.19,1.02817,0.53493,1.08655,0.93552,0.86899,0.92019,0.69254,0.86404,0.50652,1.05978,0.0006338,0.0006338,0.0006338
71,2674.68,1.0247,0.52741,1.08279,0.92878,0.88802,0.91181,0.68462,0.87782,0.47434,1.04572,0.000614,0.000614,0.000614
72,2708.17,1.0571,0.54499,1.09013,0.94517,0.88542,0.91978,0.69198,0.85627,0.46428,1.04327,0.0005942,0.0005942,0.0005942
73,2741.62,1.02766,0.53061,1.08694,0.92082,0.86719,0.90883,0.68384,0.86106,0.49987,1.05624,0.0005744,0.0005744,0.0005744
74,2775.04,1.01187,0.53,1.07418,0.93244,0.875,0.92363,0.69518,0.85508,0.48198,1.05147,0.0005546,0.0005546,0.0005546
75,2808.41,0.99999,0.51812,1.07788,0.91442,0.89038,0.91369,0.68746,0.8578,0.47944,1.05648,0.0005348,0.0005348,0.0005348
76,2841.77,0.99245,0.51315,1.06722,0.92053,0.87483,0.91172,0.68564,0.85773,0.50558,1.07548,0.000515,0.000515,0.000515
77,2875.27,1.00911,0.52175,1.08484,0.9504,0.85677,0.90792,0.68157,0.87911,0.49395,1.08828,0.0004952,0.0004952,0.0004952
78,2909.13,1.01352,0.52206,1.07355,0.94571,0.86192,0.90095,0.67997,0.8657,0.50469,1.06392,0.0004754,0.0004754,0.0004754
79,2942.45,0.99805,0.5116,1.07533,0.92644,0.88556,0.91878,0.69499,0.86689,0.49168,1.06246,0.0004556,0.0004556,0.0004556
80,2975.82,0.98783,0.51041,1.06306,0.92166,0.88847,0.90842,0.68263,0.86788,0.4878,1.06539,0.0004358,0.0004358,0.0004358
81,3009.03,0.98142,0.508,1.06219,0.93694,0.88991,0.90688,0.69105,0.86219,0.49213,1.06231,0.000416,0.000416,0.000416
